cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,absolute-pressure,      x-velocity,      y-velocity,      z-velocity
    142479,-3.693724750E-03,-4.060660303E-02, 5.459680036E-02,-4.044726563E+04,-5.039410666E-02, 1.782343864E+00, 4.550353050E+00
    142480,-3.760461463E-03,-3.948438540E-02, 5.467933789E-02,-4.049175000E+04,-8.718099445E-02, 1.856023908E+00, 4.492857933E+00
    142481, 1.029057987E-02,-6.286918372E-02, 9.122662246E-03,-2.865765625E+04, 4.907463491E-01, 1.544431210E+00, 4.260105133E+00
    142482,-2.859632671E-02, 4.882291425E-03, 1.316569373E-02,-5.408570313E+04,-1.768459201E+00, 1.172206521E+00, 4.904484272E+00
    142483,-1.351385415E-01,-8.451066911E-02,-4.294050485E-02, 5.126081250E+04, 2.165063024E-01,-2.770039737E-01, 2.779842854E+00
    142484,-6.400348619E-03,-5.302046239E-02, 4.992951080E-02,-5.195170313E+04, 2.674974203E-01, 1.589803576E+00, 4.703563213E+00
    142485,-4.113686830E-02, 3.116428666E-02,-2.004197240E-02,-6.810081250E+04, 1.045060396E+00,-3.470484316E-01,-8.897628188E-01
    142486,-6.436029449E-03,-5.325089395E-02, 5.063106865E-02,-5.169892188E+04, 2.811455429E-01, 1.553994894E+00, 4.600498676E+00
    142487,-1.365813017E-01,-8.204901963E-02,-4.278123006E-02, 5.461803906E+04, 2.904801965E-01,-5.781169534E-01, 2.677163839E+00
    142488,-1.390070915E-01,-1.239803713E-02,-4.597682133E-02, 3.913216797E+04,-3.987589478E-02,-1.867712438E-01, 3.214197159E+00
    142489,-4.356716946E-02,-1.196676716E-01, 5.097027123E-02,-4.030615625E+04,-1.713157445E-01,-2.650677264E-01,-7.674878240E-01
    142490,-4.404536262E-02,-1.005348042E-01, 4.554146156E-02,-5.438903125E+04, 1.605357647E+00, 6.758503914E-01, 4.623135090E+00
